Data Medicao,TEMPERATURA MAXIMA. DIARIA(Â°C),TEMPERATURA MEDIA COMPENSADA. DIARIA(Â°C),TEMPERATURA MINIMA. DIARIA(Â°C)
2/11/1973,29.6,25.08,20.8
2/12/1973,31.5,25.1,21.00
2/13/1973,28.6,24.66,21.5
2/14/1973,30.1,25.54,21.3
2/15/1973,28.00,23.96,21.00
2/16/1973,27.8,24.4,20.8
2/17/1973,32.4,25.96,21.6
2/18/1973,33.00,25.64,21.00
2/19/1973,32.00,25.34,21.2
2/20/1973,30.00,25.48,20.6
2/21/1973,27.00,24.56,21.4
2/22/1973,33.00,25.9,21.00
2/23/1973,29.6,24.56,20.8
2/24/1973,31.8,25.48,21.00
2/25/1973,31.00,25.32,20.5
2/26/1973,31.5,25.14,20.7
2/27/1973,29.00,24.8,21.00
2/28/1973,30.5,24.68,20.4
3/1/1973,31.8,24.52,21.2
3/2/1973,33.00,26.24,20.5
3/3/1973,29.5,25.5,21.8
3/4/1973,29.5,25.06,22.1
3/5/1973,30.2,24.72,21.6
3/6/1973,30.5,23.56,19.3
3/7/1973,31.00,25.7,21.00
3/8/1973,32.5,25.76,21.00
3/9/1973,32.5,25.2,20.5
3/10/1973,30.6,25.02,21.2
3/11/1973,29.00,24.78,21.5
3/12/1973,30.2,24.48,21.2
3/13/1973,28.8,23.76,21.00
3/14/1973,32.3,25.34,19.00
3/15/1973,32.5,25.46,20.00
3/16/1973,31.5,25.78,20.6
3/17/1973,31.00,25.9,20.8
3/18/1973,33.00,26.00,20.5
3/19/1973,32.00,26.06,20.8
3/20/1973,32.00,25.9,20.7
3/21/1973,31.2,26.22,21.1
3/22/1973,32.6,25.94,21.5
3/23/1973,33.00,25.9,20.9
3/24/1973,33.8,26.26,20.3
3/25/1973,32.8,25.52,20.2
3/26/1973,31.5,25.46,21.00
3/27/1973,30.00,24.44,20.1
3/28/1973,30.3,25.38,20.8
3/29/1973,30.00,24.86,21.5
3/30/1973,29.6,25.14,22.00
3/31/1973,31.2,25.98,21.8
4/1/1973,32.6,25.94,21.3
4/2/1973,33.6,25.8,21.4
4/3/1973,30.6,25.14,20.5
4/4/1973,29.6,25.06,20.5
4/5/1973,30.6,24.8,20.4
4/6/1973,27.2,23.68,20.7
4/7/1973,31.5,25.22,19.3
4/8/1973,32.00,25.08,21.00
4/9/1973,30.00,24.7,21.3
4/10/1973,32.00,25.68,21.00
4/11/1973,29.8,25.04,21.8
4/12/1973,28.6,24.32,21.1
4/13/1973,30.3,25.36,20.8
4/14/1973,30.5,25.34,21.5
4/15/1973,29.5,25.42,21.5
4/16/1973,29.5,24.66,21.00
4/17/1973,28.5,24.06,20.00
4/18/1973,30.3,24.72,20.8
4/19/1973,28.5,23.9,20.00
4/20/1973,31.00,25.24,19.00
4/21/1973,33.00,26.12,21.8
4/22/1973,32.8,25.74,20.8
4/23/1973,31.6,25.66,20.5
4/24/1973,32.3,25.26,20.00
4/25/1973,29.8,24.72,20.1
4/26/1973,32.5,25.1,20.00
4/27/1973,33.00,25.6,19.8
4/28/1973,33.5,26.02,21.8
4/29/1973,32.5,25.62,20.9
4/30/1973,32.00,25.02,21.00
5/1/1973,29.6,24.28,20.8
5/2/1973,32.00,24.66,20.2
5/3/1973,31.00,24.86,21.5
5/4/1973,30.5,25.02,21.00
5/5/1973,32.6,25.32,19.8
5/6/1973,32.00,25.3,20.1
5/7/1973,31.6,25.64,21.8
5/8/1973,31.8,25.46,21.7
5/9/1973,31.00,24.74,19.9
5/10/1973,30.6,24.4,20.3
5/11/1973,31.3,25.4,21.3
5/12/1973,31.00,25.18,19.8
5/13/1973,28.5,24.38,21.00
5/14/1973,31.8,25.6,21.00
5/15/1973,31.7,25.62,21.00
5/16/1973,32.6,24.98,20.8
5/17/1973,32.00,25.5,21.00
5/18/1973,33.00,25.6,19.00
5/19/1973,33.6,25.56,19.2
5/20/1973,32.00,25.1,20.00
5/21/1973,30.5,24.2,19.00
5/22/1973,31.8,24.54,19.5
5/23/1973,33.00,24.86,18.8
5/24/1973,33.00,24.92,18.8
5/25/1973,33.7,25.54,20.5
5/26/1973,33.2,25.68,19.00
5/27/1973,31.00,24.4,19.2
5/28/1973,30.6,24.28,19.00
5/29/1973,34.00,25.8,20.5
5/30/1973,32.6,24.48,18.00
5/31/1973,32.6,24.54,18.5
6/1/1973,32.5,25.56,19.8
6/2/1973,33.8,25.44,18.8
6/3/1973,32.6,25.04,18.8
6/4/1973,32.2,24.96,20.2
6/5/1973,32.6,25.58,18.9
6/6/1973,32.1,24.74,19.00
6/7/1973,32.00,24.72,18.8
6/8/1973,32.9,24.7,18.8
6/9/1973,32.8,25.18,19.00
6/10/1973,33.00,24.12,18.5
6/11/1973,31.5,23.78,17.2
6/12/1973,32.8,24.86,21.00
6/13/1973,33.00,24.82,18.00
6/14/1973,33.00,25.00,17.2
6/15/1973,32.9,25.8,18.8
6/16/1973,32.00,25.54,19.9
6/17/1973,30.8,25.1,20.9
6/18/1973,32.00,25.82,20.5
6/19/1973,28.00,23.08,19.3
6/20/1973,31.00,23.82,17.00
6/21/1973,30.5,24.5,18.8
6/22/1973,32.00,24.76,20.00
6/23/1973,31.8,25.08,19.2
6/24/1973,32.2,25.46,20.00
6/25/1973,30.9,24.12,19.00
6/26/1973,31.4,24.2,19.00
6/27/1973,30.00,23.82,18.5
6/28/1973,29.2,22.78,18.00
6/29/1973,29.2,23.12,18.00
6/30/1973,30.00,24.3,20.00
7/1/1973,31.5,23.78,17.9
7/2/1973,31.9,24.02,18.00
7/3/1973,32.3,24.16,17.2
7/4/1973,32.4,24.12,17.8
7/5/1973,32.00,23.14,17.5
7/6/1973,31.7,23.54,16.5
7/7/1973,31.2,24.16,17.5
7/8/1973,31.9,23.78,16.4
7/9/1973,33.00,24.1,16.6
7/10/1973,32.4,23.96,15.4
7/11/1973,32.00,23.44,15.9
7/12/1973,31.9,23.54,16.3
7/13/1973,32.7,24.62,16.5
7/14/1973,32.2,23.86,16.6
7/15/1973,31.8,23.7,16.1
7/16/1973,32.5,24.62,17.00
7/17/1973,32.5,25.66,21.00
7/18/1973,32.5,24.32,17.5
7/19/1973,32.8,24.52,16.8
7/20/1973,33.1,25.14,19.00
7/21/1973,33.5,24.82,17.8
7/22/1973,30.2,24.06,18.3
7/23/1973,28.3,23.08,18.1
7/24/1973,31.8,24.54,17.1
7/25/1973,30.3,24.54,19.8
7/26/1973,31.00,24.94,19.9
7/27/1973,30.00,23.3,18.5
7/28/1973,31.00,24.1,18.3
7/29/1973,30.00,24.06,18.8
7/30/1973,31.4,24.38,18.5
7/31/1973,31.3,24.1,19.00
8/1/1973,31.4,24.46,17.8
8/2/1973,32.3,23.86,16.8
8/3/1973,33.00,24.12,17.00
8/4/1973,33.5,25.32,16.5
8/5/1973,30.4,23.4,18.00
8/6/1973,31.8,22.84,16.4
8/7/1973,31.00,23.22,18.00
8/8/1973,31.9,23.98,18.00
8/9/1973,31.4,23.2,17.2
8/10/1973,31.00,23.46,18.2
8/11/1973,31.7,23.98,17.7
8/12/1973,32.8,24.6,17.2
8/13/1973,33.00,24.84,18.4
8/14/1973,32.5,24.74,17.00
8/15/1973,33.00,25.72,18.6
8/16/1973,28.4,23.46,19.9
8/17/1973,33.00,24.88,18.8
8/18/1973,33.2,24.52,18.2
8/19/1973,32.8,23.54,15.00
8/20/1973,32.6,24.36,16.6
8/21/1973,32.9,24.12,17.7
8/22/1973,32.8,24.34,17.00
8/23/1973,33.9,24.24,16.5
8/24/1973,33.4,24.52,16.2
8/25/1973,33.7,25.06,18.1
8/26/1973,33.5,25.18,17.2
8/27/1973,33.4,24.42,16.8
8/28/1973,34.9,24.24,15.00
8/29/1973,33.7,24.02,15.00
8/30/1973,34.5,25.36,16.8
8/31/1973,33.5,24.72,18.1
9/1/1973,32.8,25.28,18.2
9/2/1973,33.00,24.8,17.3
9/3/1973,33.4,25.14,17.4
9/4/1973,34.00,26.16,18.00
9/5/1973,34.00,24.48,17.00
9/6/1973,32.4,24.84,19.4
9/7/1973,32.00,24.68,19.00
9/8/1973,31.5,23.98,19.4
9/9/1973,32.00,24.22,18.3
9/10/1973,32.00,24.16,18.00
9/11/1973,32.8,24.04,17.00
9/12/1973,32.00,25.12,17.9
9/13/1973,33.1,24.38,17.4
9/14/1973,32.8,24.08,18.4
9/15/1973,31.9,23.96,18.00
9/16/1973,31.5,24.24,17.5
9/17/1973,32.00,24.94,18.00
9/18/1973,33.00,24.72,18.2
9/19/1973,33.9,24.8,18.00
9/20/1973,31.5,24.74,17.4
9/21/1973,32.00,25.12,19.00
9/22/1973,32.00,24.34,19.00
9/23/1973,33.5,24.94,18.00
9/24/1973,34.00,26.36,18.5
9/25/1973,30.6,24.6,18.00
9/26/1973,32.4,25.32,17.5
9/27/1973,34.2,25.92,18.8
9/28/1973,32.4,24.8,20.00
9/29/1973,31.2,24.26,17.8
9/30/1973,32.00,24.5,19.00
10/1/1973,30.00,23.6,18.00
10/2/1973,30.00,24.68,18.6
10/3/1973,28.5,23.5,19.4
10/4/1973,30.2,24.14,19.00
10/5/1973,31.00,23.9,19.2
10/6/1973,31.9,24.66,17.7
10/7/1973,33.5,25.98,18.00
10/8/1973,33.00,25.84,18.8
10/9/1973,32.00,25.4,19.00
10/10/1973,32.4,25.08,18.4
10/11/1973,33.3,25.7,18.5
10/12/1973,34.1,25.86,18.7
10/13/1973,32.8,25.2,18.7
10/14/1973,29.9,24.48,18.5
10/15/1973,32.2,25.36,19.9
10/16/1973,30.00,24.32,20.00
10/17/1973,29.00,23.3,18.5
10/18/1973,31.5,25.02,18.6
10/19/1973,26.8,23.72,20.00
10/20/1973,29.00,23.96,19.00
10/21/1973,28.2,23.16,18.5
10/22/1973,32.4,24.56,18.00
10/23/1973,30.5,24.24,18.1
10/24/1973,31.8,24.72,18.2
10/25/1973,31.00,24.2,19.2
10/26/1973,31.4,24.16,18.6
10/27/1973,27.9,23.72,18.8
10/28/1973,32.3,24.8,18.7
10/29/1973,31.4,24.32,19.4
10/30/1973,31.5,24.46,18.3
10/31/1973,31.8,25.1,18.1
11/1/1973,32.1,25.2,18.5
11/2/1973,32.6,25.94,19.1
11/3/1973,32.9,25.78,19.00
11/4/1973,32.00,26.06,20.5
11/5/1973,30.00,23.98,18.5
11/6/1973,30.3,24.06,18.6
11/7/1973,33.00,25.48,18.8
11/8/1973,30.00,25.88,20.00
11/9/1973,32.5,25.92,20.3
11/10/1973,30.2,24.98,19.1
11/11/1973,31.00,24.94,19.6
11/12/1973,33.00,26.3,19.9
11/13/1973,33.00,26.22,18.7
11/14/1973,33.00,25.68,18.00
11/15/1973,33.00,25.84,19.00
11/16/1973,33.00,26.54,18.5
11/17/1973,33.00,25.84,19.00
11/18/1973,32.00,25.44,19.2
11/19/1973,32.00,25.68,19.8
11/20/1973,32.00,25.24,18.00
11/21/1973,31.5,25.02,17.8
11/22/1973,32.00,24.88,17.2
11/23/1973,32.9,25.24,18.4
11/24/1973,29.5,25.38,20.00
11/25/1973,31.00,25.38,19.9
11/26/1973,32.8,25.64,19.00
11/27/1973,32.5,25.36,19.1
11/28/1973,27.9,23.54,19.00
11/29/1973,27.9,23.54,18.00
11/30/1973,31.2,24.7,18.5
12/1/1973,32.5,25.9,19.6
12/2/1973,26.5,23.08,18.9
12/3/1973,27.9,23.64,18.00
12/4/1973,29.5,24.48,19.2
12/5/1973,32.00,25.02,17.5
12/6/1973,31.5,24.54,18.00
12/7/1973,31.5,24.66,18.8
12/8/1973,31.5,24.54,18.00
12/9/1973,28.9,24.14,19.00
12/10/1973,31.00,24.7,19.00
12/11/1973,30.00,23.7,18.00
12/12/1973,28.00,22.42,17.9
12/13/1973,30.00,23.76,17.2
12/14/1973,30.9,23.66,17.5
12/15/1973,32.00,24.56,17.00
12/16/1973,25.1,21.88,17.9
12/17/1973,30.00,24.00,18.00
12/18/1973,31.2,24.46,18.5
12/19/1973,29.8,24.04,18.2
12/20/1973,30.00,24.00,17.2
12/21/1973,30.5,24.02,17.8
12/22/1973,30.5,23.54,17.2
12/23/1973,30.2,24.00,18.00
12/24/1973,28.8,23.4,17.8
12/25/1973,31.1,23.84,17.8
12/26/1973,33.5,25.06,17.00
12/27/1973,28.5,24.16,18.8
12/28/1973,29.8,24.58,19.2
12/29/1973,30.00,24.32,17.2
12/30/1973,29.9,24.00,18.9
12/31/1973,32.00,23.9,17.00
1/1/1974,31.5,24.74,17.00
1/2/1974,30.5,24.6,17.9
1/3/1974,31.8,25.32,20.00
1/4/1974,29.2,24.44,19.2
1/5/1974,31.6,24.32,17.9
1/6/1974,31.2,24.94,17.9
1/7/1974,31.00,24.66,18.00
1/8/1974,31.00,24.92,18.00
1/9/1974,32.5,25.06,18.00
1/10/1974,29.8,23.44,16.9
1/11/1974,29.2,24.26,18.2
1/12/1974,25.00,21.64,17.2
1/13/1974,29.2,23.04,16.8
1/14/1974,30.00,24.3,18.00
1/15/1974,27.9,22.88,16.9
1/16/1974,28.2,23.96,18.2
1/17/1974,26.2,21.86,17.6
1/18/1974,29.2,23.5,17.5
1/19/1974,27.00,22.8,17.8
1/20/1974,30.8,23.98,16.9
1/21/1974,26.00,22.96,17.8
1/22/1974,30.5,24.06,16.8
1/23/1974,28.8,23.62,18.2
1/24/1974,28.9,23.62,18.00
1/25/1974,30.1,24.34,18.3
1/26/1974,29.00,23.12,17.9
1/27/1974,31.8,24.66,18.00
1/28/1974,28.8,23.04,18.00
1/29/1974,31.6,23.96,17.00
1/30/1974,31.9,24.92,17.5
1/31/1974,32.8,24.7,18.5
2/1/1974,25.2,22.34,18.5
2/2/1974,29.2,24.16,18.00
2/3/1974,29.7,24.62,19.00
2/4/1974,29.5,24.66,19.00
2/5/1974,27.00,23.2,18.00
2/6/1974,29.5,23.9,18.00
2/7/1974,26.00,22.26,17.5
2/8/1974,26.2,22.92,17.2
2/9/1974,30.2,23.34,17.5
2/10/1974,25.00,22.18,17.9
2/11/1974,31.2,24.52,18.8
2/12/1974,32.00,24.56,18.00
2/13/1974,30.9,24.74,17.8
2/14/1974,29.5,24.44,18.2
2/15/1974,27.8,23.9,18.8
2/16/1974,28.5,23.38,16.8
2/17/1974,29.2,23.72,16.6
2/18/1974,27.9,24.06,19.00
2/19/1974,30.5,23.96,17.1
2/20/1974,31.5,24.82,18.00
2/21/1974,26.00,22.62,17.8
2/22/1974,31.00,24.12,17.2
2/23/1974,27.5,23.00,17.1
2/24/1974,29.5,23.82,18.00
2/25/1974,29.9,24.3,17.8
2/26/1974,31.5,23.74,18.00
2/27/1974,31.2,24.7,17.5
2/28/1974,30.4,24.64,17.9
3/1/1974,30.00,25.00,18.6
3/2/1974,27.8,23.64,19.00
3/3/1974,29.00,24.34,19.3
3/4/1974,28.6,24.24,19.00
3/5/1974,31.00,25.32,19.6
3/6/1974,29.8,24.62,18.5
3/7/1974,31.5,25.22,19.2
3/8/1974,28.8,24.2,18.8
3/9/1974,29.8,24.32,18.2
3/10/1974,30.2,24.7,18.2
3/11/1974,30.2,24.78,18.3
3/12/1974,30.5,24.08,18.5
3/13/1974,30.5,24.78,19.00
3/14/1974,29.8,24.38,18.5
3/15/1974,28.00,23.6,19.00
3/16/1974,24.8,22.22,18.5
3/17/1974,30.2,23.7,17.5
3/18/1974,24.8,22.46,19.00
3/19/1974,26.8,22.94,17.5
3/20/1974,27.8,22.76,17.5
3/21/1974,28.00,23.26,17.2
3/22/1974,25.8,22.38,18.00
3/23/1974,28.8,22.94,16.5
3/24/1974,29.00,23.26,17.5
3/25/1974,28.8,23.62,18.5
3/26/1974,30.1,23.9,18.2
3/27/1974,30.5,24.46,18.6
3/28/1974,27.5,23.84,19.2
3/29/1974,29.8,23.84,18.2
3/30/1974,31.8,24.24,16.5
3/31/1974,26.00,22.48,18.00
4/1/1974,32.5,24.96,17.5
4/2/1974,30.5,24.34,18.8
4/3/1974,31.8,24.8,17.8
4/4/1974,30.2,24.56,19.00
4/5/1974,31.2,24.4,18.00
4/6/1974,30.8,24.64,18.00
4/7/1974,32.00,24.62,19.00
4/8/1974,31.00,24.32,18.8
4/9/1974,30.2,24.18,19.2
4/10/1974,30.00,23.76,17.2
4/11/1974,29.2,24.18,19.2
4/12/1974,33.00,25.4,18.00
4/13/1974,31.5,24.24,17.5
4/14/1974,32.00,23.88,17.2
4/15/1974,30.2,24.44,17.8
4/16/1974,28.2,23.8,18.2
4/17/1974,28.3,24.00,18.00
4/18/1974,29.2,23.8,18.8
4/19/1974,31.00,24.92,18.8
4/20/1974,29.00,24.62,18.00
4/21/1974,32.3,25.38,19.00
4/22/1974,31.7,25.18,19.8
4/23/1974,31.5,24.56,18.8
4/24/1974,30.5,25.02,19.00
4/25/1974,28.00,24.48,19.8
4/26/1974,31.5,24.66,18.00
4/27/1974,30.6,23.94,19.2
4/28/1974,31.00,23.74,18.00
4/29/1974,26.00,23.02,17.9
4/30/1974,25.3,22.36,17.5
5/1/1974,32.00,24.4,17.00
5/2/1974,30.00,24.06,17.2
5/3/1974,29.8,24.04,17.7
5/4/1974,27.7,23.42,17.3
5/5/1974,30.5,24.6,18.00
5/6/1974,30.6,24.08,18.4
5/7/1974,30.8,24.48,18.2
5/8/1974,31.00,24.28,18.00
5/9/1974,31.2,24.42,18.5
5/10/1974,28.8,23.66,17.9
5/11/1974,32.3,25.02,18.6
5/12/1974,31.3,24.12,17.7
5/13/1974,28.00,23.18,17.8
5/14/1974,27.00,22.76,17.4
5/15/1974,31.5,24.54,17.8
5/16/1974,29.2,23.34,17.3
5/17/1974,30.5,23.82,17.2
5/18/1974,28.4,22.7,16.3
5/19/1974,30.6,23.88,17.00
5/20/1974,31.2,24.12,17.2
5/21/1974,31.5,23.9,17.2
5/22/1974,30.6,23.02,16.9
5/23/1974,31.00,24.16,16.00
5/24/1974,28.00,23.08,17.4
5/25/1974,30.8,23.96,17.2
5/26/1974,29.3,23.74,17.3
5/27/1974,31.7,24.18,17.5
5/28/1974,30.6,24.1,16.3
5/29/1974,31.4,24.56,17.5
5/30/1974,30.8,24.18,17.00
5/31/1974,28.00,23.2,17.4
6/1/1974,30.4,23.6,17.5
6/2/1974,30.3,23.5,17.00
6/3/1974,30.00,23.84,18.00
6/4/1974,30.5,23.54,17.00
6/5/1974,31.8,23.76,15.4
6/6/1974,30.2,23.44,15.6
6/7/1974,31.00,23.6,16.6
6/8/1974,30.6,23.34,15.3
6/9/1974,31.7,24.28,15.4
6/10/1974,30.4,23.84,16.9
6/11/1974,30.00,22.54,13.9
6/12/1974,31.00,22.96,15.5
6/13/1974,32.00,22.3,13.5
6/14/1974,31.8,21.86,12.00
6/15/1974,32.00,22.88,12.8
6/16/1974,31.6,22.92,14.4
6/17/1974,31.5,22.82,13.4
6/18/1974,32.00,23.16,14.8
6/19/1974,31.8,23.3,14.00
6/20/1974,31.5,24.2,16.8
6/21/1974,32.8,23.4,13.5
6/22/1974,32.1,23.32,14.00
6/23/1974,31.8,23.5,16.00
6/24/1974,32.2,23.68,14.9
6/25/1974,33.00,24.86,16.7
6/26/1974,31.9,24.42,16.3
6/27/1974,31.9,23.64,15.2
6/28/1974,32.5,23.7,14.2
6/29/1974,32.4,23.24,14.00
6/30/1974,31.7,23.34,13.00
7/1/1974,31.00,22.32,13.6
7/2/1974,29.5,21.56,11.5
7/3/1974,29.4,20.38,10.5
7/4/1974,29.1,21.7,9.8
7/5/1974,29.5,20.48,12.3
7/6/1974,31.00,20.04,8.8
7/7/1974,31.2,21.98,11.00
7/8/1974,32.00,23.44,13.6
7/9/1974,32.00,24.06,15.5
7/10/1974,32.5,23.1,13.00
7/11/1974,32.00,22.54,12.3
7/12/1974,32.6,23.28,13.00
7/13/1974,32.4,23.2,13.2
7/14/1974,32.5,23.16,14.00
7/15/1974,32.00,22.56,14.00
7/16/1974,32.3,21.84,10.5
7/17/1974,32.9,23.92,11.5
7/18/1974,33.5,24.26,14.00
7/19/1974,33.5,24.74,14.2
7/20/1974,32.8,24.54,13.7
7/21/1974,33.2,24.28,14.8
7/22/1974,33.2,23.36,14.2
7/23/1974,33.5,22.76,11.5
7/24/1974,33.00,22.48,13.4
7/25/1974,32.9,21.84,9.9
7/26/1974,33.00,22.56,11.4
7/27/1974,33.00,23.58,12.5
7/28/1974,33.00,23.48,12.5
7/29/1974,33.3,23.64,13.5
7/30/1974,33.7,23.12,14.00
7/31/1974,33.4,22.48,11.5
8/1/1974,33.4,22.7,12.00
8/2/1974,33.9,23.82,14.00
8/3/1974,33.2,24.16,14.5
8/4/1974,33.00,22.14,9.5
8/5/1974,33.8,22.04,10.4
8/6/1974,33.3,22.54,10.5
8/7/1974,33.5,22.16,11.00
8/8/1974,33.5,22.42,10.6
8/9/1974,32.6,22.8,11.8
8/10/1974,32.00,24.16,14.00
8/11/1974,33.5,24.14,14.8
8/12/1974,33.5,23.38,12.4
8/13/1974,34.00,23.96,12.5
8/14/1974,34.00,24.58,14.00
8/15/1974,34.8,25.12,12.6
8/16/1974,33.00,24.3,11.5
8/17/1974,33.9,23.86,14.00
8/18/1974,31.9,23.72,15.5
8/19/1974,33.00,24.3,14.00
8/20/1974,32.00,22.3,15.5
8/21/1974,31.9,23.16,14.00
8/22/1974,33.00,24.18,14.9
8/23/1974,33.00,23.54,14.9
8/24/1974,33.2,24.88,14.8
8/25/1974,33.7,24.52,14.9
8/26/1974,34.2,24.56,14.2
8/27/1974,32.4,23.9,14.6
8/28/1974,33.2,24.44,14.2
