Data Medicao,TEMPERATURA MAXIMA. DIARIA(Â°C),TEMPERATURA MEDIA COMPENSADA. DIARIA(Â°C),TEMPERATURA MINIMA. DIARIA(Â°C)
1/21/1979,30.1,25.46,21.8
1/22/1979,29.3,24.5,22.00
1/23/1979,29.1,24.94,22.00
1/24/1979,25.6,23.08,21.4
1/25/1979,null,null,null
1/26/1979,29.00,23.88,22.00
1/27/1979,null,null,null
1/28/1979,27.4,24.00,21.2
1/29/1979,30.3,25.26,21.2
1/30/1979,30.6,24.6,21.2
1/31/1979,30.3,24.54,21.2
2/1/1979,29.9,25.82,22.4
2/2/1979,30.9,25.66,22.4
2/3/1979,29.00,25.08,22.4
2/4/1979,28.2,24.72,22.8
2/5/1979,29.5,25.22,22.4
2/6/1979,null,null,null
2/7/1979,31.1,25.14,21.2
2/8/1979,31.1,24.22,21.2
2/9/1979,null,null,null
2/10/1979,26.8,24.00,22.00
2/11/1979,27.4,23.92,22.00
2/12/1979,31.3,25.78,21.8
2/13/1979,31.5,25.82,21.8
2/14/1979,30.9,25.46,22.6
2/15/1979,27.4,24.56,22.2
2/16/1979,28.2,25.08,22.2
2/17/1979,31.5,25.9,22.2
2/18/1979,31.3,24.78,22.2
2/19/1979,null,null,null
2/20/1979,null,null,null
2/21/1979,null,null,null
2/22/1979,32.1,26.5,22.4
2/23/1979,null,null,null
2/24/1979,31.7,25.5,21.2
2/25/1979,28.8,24.2,21.2
2/26/1979,29.5,24.34,21.2
2/27/1979,31.3,25.02,22.4
2/28/1979,30.3,23.98,21.6
3/1/1979,29.00,24.72,21.2
3/2/1979,null,null,null
3/3/1979,33.1,25.7,21.8
3/4/1979,31.1,24.94,21.6
3/5/1979,30.9,25.02,21.6
3/6/1979,32.3,25.18,21.6
3/7/1979,30.3,25.00,22.00
3/8/1979,33.2,25.72,21.6
3/9/1979,null,null,null
3/10/1979,31.7,25.38,22.00
3/11/1979,28.6,25.04,22.2
3/12/1979,29.00,25.44,22.8
3/13/1979,30.5,25.54,22.8
3/14/1979,30.5,25.18,23.2
3/15/1979,null,null,null
3/16/1979,30.1,25.62,23.4
3/17/1979,null,null,null
3/18/1979,31.5,25.1,22.2
3/19/1979,31.9,26.18,22.2
3/20/1979,32.1,26.14,23.00
3/21/1979,30.3,24.26,22.2
3/22/1979,null,null,null
3/23/1979,32.1,25.54,22.2
3/24/1979,31.7,26.1,22.2
3/25/1979,33.1,26.06,22.6
3/26/1979,33.7,26.74,22.6
3/27/1979,33.3,26.86,22.6
3/28/1979,28.6,25.12,23.00
3/29/1979,null,null,null
3/30/1979,31.7,25.86,22.4
3/31/1979,28.4,24.96,22.2
4/1/1979,null,null,null
4/2/1979,31.3,25.22,22.00
4/3/1979,null,null,null
4/4/1979,31.7,26.02,22.4
4/5/1979,null,null,null
4/6/1979,32.1,25.94,21.4
4/7/1979,33.1,25.86,22.4
4/8/1979,30.9,24.74,21.8
4/9/1979,null,null,null
4/10/1979,29.00,24.8,22.2
4/11/1979,32.7,25.54,22.2
4/12/1979,30.9,25.22,21.8
4/13/1979,32.7,26.22,21.8
4/14/1979,32.9,26.02,22.8
4/15/1979,null,null,null
4/16/1979,null,null,null
4/17/1979,32.7,25.66,21.2
4/18/1979,null,null,null
4/19/1979,32.7,25.66,21.2
4/20/1979,32.1,24.62,21.2
4/21/1979,null,null,null
4/22/1979,null,null,null
4/23/1979,null,null,null
4/24/1979,30.9,25.62,23.00
4/25/1979,25.00,23.56,22.00
4/26/1979,null,null,null
4/27/1979,30.5,25.38,22.6
4/28/1979,26.6,24.04,22.4
4/29/1979,32.9,25.46,22.4
4/30/1979,null,null,null
5/1/1979,null,null,null
5/2/1979,31.7,24.86,21.8
5/3/1979,null,null,null
5/4/1979,31.9,25.9,22.4
5/5/1979,30.9,24.94,22.4
5/6/1979,28.6,24.6,22.00
5/7/1979,27.00,24.24,22.4
5/8/1979,31.5,25.1,22.00
5/9/1979,32.00,25.64,20.1
5/10/1979,32.1,25.62,20.2
5/11/1979,32.1,26.18,21.8
5/12/1979,32.3,25.86,22.6
5/13/1979,31.3,25.46,22.6
5/14/1979,null,null,null
5/15/1979,30.9,26.14,23.4
5/16/1979,31.5,25.92,22.5
5/17/1979,31.3,26.34,22.4
5/18/1979,null,null,null
5/19/1979,31.1,25.1,21.2
5/20/1979,31.3,25.3,21.00
5/21/1979,null,null,null
5/22/1979,32.2,25.52,20.00
5/23/1979,32.7,25.98,21.2
5/24/1979,31.1,25.46,22.8
5/25/1979,30.00,24.72,22.2
5/26/1979,null,null,null
5/27/1979,30.9,25.3,22.6
5/28/1979,31.9,25.2,21.00
5/29/1979,31.1,25.26,22.00
5/30/1979,32.3,25.26,20.8
5/31/1979,30.3,25.26,21.6
6/1/1979,28.8,23.68,20.2
6/2/1979,30.3,24.82,20.2
6/3/1979,30.7,24.5,20.00
6/4/1979,30.3,24.3,20.4
6/5/1979,30.7,24.18,18.4
6/6/1979,30.6,23.8,18.6
6/7/1979,31.5,23.88,18.00
6/8/1979,30.9,24.7,19.8
6/9/1979,30.5,24.5,19.6
6/10/1979,31.1,24.18,18.2
6/11/1979,31.9,24.42,18.6
6/12/1979,31.9,24.98,19.6
6/13/1979,31.7,24.96,19.8
6/14/1979,31.7,23.76,18.9
6/15/1979,31.3,23.22,17.7
6/16/1979,31.3,24.34,18.6
6/17/1979,30.5,23.06,16.2
6/18/1979,31.2,23.76,16.6
6/19/1979,31.5,25.18,21.00
6/20/1979,31.5,24.00,18.1
6/21/1979,31.1,24.5,18.8
6/22/1979,30.6,23.48,18.00
6/23/1979,31.1,24.02,18.4
6/24/1979,31.1,23.96,17.7
6/25/1979,31.5,23.82,18.4
6/26/1979,31.7,23.86,17.4
6/27/1979,31.7,24.22,18.2
6/28/1979,31.5,24.22,18.6
6/29/1979,31.5,24.42,18.4
6/30/1979,32.1,24.24,18.2
7/1/1979,32.1,24.34,18.2
7/2/1979,32.1,25.12,19.6
7/3/1979,32.7,24.42,18.4
7/4/1979,32.1,23.98,18.8
7/5/1979,32.4,24.8,20.2
7/6/1979,32.3,23.24,18.00
7/7/1979,32.5,23.8,17.2
7/8/1979,32.3,23.34,17.2
7/9/1979,32.7,23.5,16.6
7/10/1979,32.7,23.3,17.2
7/11/1979,33.3,24.14,17.2
7/12/1979,33.3,24.96,19.00
7/13/1979,32.1,25.12,19.8
7/14/1979,32.1,26.14,22.6
7/15/1979,32.3,25.24,21.2
7/16/1979,33.3,24.9,18.00
7/17/1979,33.7,25.12,18.00
7/18/1979,31.5,23.96,19.4
7/19/1979,31.7,24.96,21.2
7/20/1979,33.2,25.18,19.2
7/21/1979,32.5,25.64,21.00
7/22/1979,33.3,26.02,21.8
7/23/1979,33.7,26.62,22.00
7/24/1979,33.3,25.46,19.6
7/25/1979,33.3,25.26,18.6
7/26/1979,33.4,24.6,17.8
7/27/1979,33.5,24.12,17.2
7/28/1979,34.7,24.46,17.2
7/29/1979,34.1,24.56,17.6
7/30/1979,33.7,24.2,17.00
7/31/1979,33.9,24.76,16.8
8/1/1979,null,null,null
8/2/1979,33.7,24.46,17.8
8/3/1979,33.7,24.28,16.4
8/4/1979,34.5,25.36,16.8
8/5/1979,null,null,null
8/6/1979,34.1,25.46,18.6
8/7/1979,34.7,24.56,16.4
8/8/1979,34.7,24.94,16.6
8/9/1979,34.3,25.18,18.00
8/10/1979,34.7,25.22,17.6
8/11/1979,35.2,26.06,17.6
8/12/1979,34.9,26.28,19.4
8/13/1979,34.5,25.22,21.00
8/14/1979,34.9,26.78,20.6
8/15/1979,35.1,27.02,22.00
8/16/1979,34.9,26.5,20.00
8/17/1979,34.3,27.2,21.1
8/18/1979,34.7,27.00,20.1
8/19/1979,34.1,26.66,20.00
8/20/1979,33.3,26.58,21.4
8/21/1979,33.7,25.98,21.8
8/22/1979,27.4,23.6,21.6
8/23/1979,30.9,25.5,21.4
8/24/1979,33.1,26.14,20.8
8/25/1979,31.3,25.22,22.6
8/26/1979,33.3,24.56,21.8
8/27/1979,32.1,25.76,21.6
8/28/1979,30.5,25.02,20.6
8/29/1979,31.3,24.3,20.8
8/30/1979,31.5,25.26,21.2
8/31/1979,34.5,26.84,21.2
9/1/1979,29.00,23.82,20.4
9/2/1979,null,null,null
9/3/1979,null,null,null
9/4/1979,31.5,24.7,21.00
9/5/1979,31.9,25.86,21.6
9/6/1979,32.3,25.82,21.4
9/7/1979,29.7,24.9,21.2
9/8/1979,null,null,null
9/9/1979,33.1,25.34,20.00
9/10/1979,32.7,25.64,20.00
9/11/1979,null,null,null
9/12/1979,33.7,26.3,20.4
9/13/1979,34.3,27.34,22.4
9/14/1979,33.3,26.94,22.00
9/15/1979,null,null,null
9/16/1979,33.1,25.86,21.8
9/17/1979,32.9,24.22,21.4
9/18/1979,null,null,null
9/19/1979,null,null,null
9/20/1979,33.3,25.42,21.4
9/21/1979,null,null,null
9/22/1979,null,null,null
9/23/1979,31.7,25.44,21.8
9/24/1979,32.5,26.04,20.8
9/25/1979,32.7,26.22,20.8
9/26/1979,32.9,26.34,22.4
9/27/1979,33.3,26.06,20.8
9/28/1979,null,null,null
9/29/1979,32.1,25.14,21.8
9/30/1979,29.9,24.58,21.2
10/1/1979,31.3,25.02,21.4
10/2/1979,32.7,25.1,21.6
10/3/1979,32.1,26.14,21.6
10/4/1979,32.7,25.86,22.00
10/5/1979,null,null,null
10/6/1979,null,null,null
10/7/1979,33.3,26.74,22.4
10/8/1979,33.9,26.46,21.00
10/9/1979,33.9,25.9,21.4
10/10/1979,33.4,26.32,21.00
10/11/1979,32.7,25.38,21.4
10/12/1979,34.2,26.76,21.8
10/13/1979,32.9,26.38,22.00
10/14/1979,29.1,25.14,22.4
10/15/1979,32.3,26.14,22.00
10/16/1979,33.3,27.54,23.8
10/17/1979,30.1,25.34,22.8
10/18/1979,29.1,25.18,22.4
10/19/1979,29.00,24.4,22.4
10/20/1979,31.9,25.86,21.2
10/21/1979,32.3,26.06,22.2
10/22/1979,30.7,24.54,22.2
10/23/1979,31.9,25.58,21.4
10/24/1979,33.1,25.98,23.00
10/25/1979,33.7,26.78,22.8
10/26/1979,32.8,27.4,22.4
10/27/1979,33.3,27.26,22.8
10/28/1979,32.7,26.98,22.8
10/29/1979,31.4,26.04,21.6
10/30/1979,33.3,27.42,22.4
10/31/1979,31.7,26.46,22.4
11/1/1979,31.9,26.5,22.4
11/2/1979,29.3,23.98,20.00
11/3/1979,null,null,null
11/4/1979,33.4,26.4,22.00
11/5/1979,31.5,25.3,22.2
11/6/1979,31.3,26.02,22.4
11/7/1979,32.7,26.66,22.4
11/8/1979,33.1,26.1,23.2
11/9/1979,32.00,25.36,22.4
11/10/1979,31.4,25.92,21.4
11/11/1979,29.7,25.5,23.00
11/12/1979,null,null,null
11/13/1979,30.5,25.18,22.4
11/14/1979,32.3,26.18,22.2
11/15/1979,33.5,27.18,22.4
11/16/1979,33.3,25.98,22.4
11/17/1979,24.6,22.62,21.00
11/18/1979,null,null,null
11/19/1979,31.3,25.1,22.6
11/20/1979,31.1,24.5,21.8
11/21/1979,null,null,null
11/22/1979,null,null,null
11/23/1979,31.1,25.22,21.2
11/24/1979,33.9,27.06,22.2
11/25/1979,null,null,null
11/26/1979,32.1,27.02,23.00
11/27/1979,32.9,26.5,23.00
11/28/1979,32.7,26.98,22.6
11/29/1979,32.3,24.82,21.8
11/30/1979,32.3,25.42,21.2
12/1/1979,30.5,24.78,22.4
12/2/1979,32.3,26.26,21.8
12/3/1979,33.9,27.06,22.2
12/4/1979,34.3,26.34,22.8
12/5/1979,null,null,null
12/6/1979,33.5,26.82,22.2
12/7/1979,33.5,27.38,22.2
12/8/1979,31.3,25.14,22.8
12/9/1979,26.00,23.58,21.4
12/10/1979,null,null,null
12/11/1979,31.3,25.7,21.8
12/12/1979,28.00,24.48,22.00
12/13/1979,31.5,25.7,21.00
12/14/1979,null,null,null
12/15/1979,28.00,24.44,21.8
12/16/1979,31.3,25.06,22.4
12/17/1979,27.8,24.68,22.00
12/18/1979,null,null,null
12/19/1979,26.2,23.88,22.2
12/20/1979,30.9,25.48,22.4
12/21/1979,29.7,24.22,21.6
12/22/1979,24.6,22.42,20.4
12/23/1979,31.7,25.32,20.8
12/24/1979,null,null,null
12/25/1979,32.5,25.78,22.8
12/26/1979,31.1,25.48,21.4
12/27/1979,32.7,26.42,22.2
12/28/1979,32.3,25.22,21.6
12/29/1979,30.3,24.58,21.4
12/30/1979,28.2,24.12,21.6
12/31/1979,null,null,null
1/1/1980,30.1,25.26,22.4
1/2/1980,null,null,null
1/3/1980,30.4,24.88,22.2
1/4/1980,30.3,24.78,22.4
1/5/1980,29.9,25.58,22.4
1/6/1980,30.9,25.66,22.2
1/7/1980,null,null,null
1/8/1980,31.3,25.06,22.4
1/9/1980,29.9,24.3,22.4
1/10/1980,27.8,24.68,22.00
1/11/1980,28.4,24.32,22.4
1/12/1980,28.00,24.64,22.2
1/13/1980,26.6,24.2,22.4
1/14/1980,26.4,22.94,20.4
1/15/1980,29.9,24.98,21.00
1/16/1980,30.3,25.74,22.4
1/17/1980,28.8,23.48,21.4
1/18/1980,null,null,null
1/19/1980,29.3,24.66,21.8
1/20/1980,30.3,25.58,22.2
1/21/1980,31.7,25.5,22.4
1/22/1980,31.5,26.06,22.00
1/23/1980,null,null,null
1/24/1980,31.3,26.06,22.4
1/25/1980,32.1,25.86,22.00
1/26/1980,31.9,26.34,22.00
1/27/1980,30.5,25.42,22.4
1/28/1980,30.7,25.42,22.6
1/29/1980,27.4,24.6,22.4
1/30/1980,30.7,25.86,22.2
1/31/1980,30.7,25.62,23.4
2/1/1980,null,null,null
2/2/1980,31.1,25.58,22.4
2/3/1980,31.7,26.1,22.2
2/4/1980,29.1,25.34,22.2
2/5/1980,32.3,25.74,22.6
2/6/1980,30.1,25.78,22.4
2/7/1980,31.7,26.38,23.2
2/8/1980,27.8,25.64,23.4
2/9/1980,26.4,23.54,22.2
2/10/1980,31.5,25.72,21.6
2/11/1980,30.3,24.54,21.8
2/12/1980,null,null,null
2/13/1980,29.00,24.76,22.4
2/14/1980,25.4,23.26,21.4
2/15/1980,28.2,24.1,21.00
2/16/1980,28.00,24.02,22.00
2/17/1980,28.2,24.04,22.4
2/18/1980,29.3,24.52,22.00
2/19/1980,30.1,25.26,21.8
2/20/1980,30.3,25.5,22.6
2/21/1980,29.7,25.3,22.2
2/22/1980,28.8,24.8,22.2
2/23/1980,26.2,23.42,21.4
2/24/1980,30.3,24.38,22.00
2/25/1980,28.2,24.14,22.00
2/26/1980,null,null,null
2/27/1980,28.00,23.24,21.4
2/28/1980,31.4,25.18,21.00
2/29/1980,31.3,25.18,21.8
3/1/1980,28.8,23.9,21.6
3/2/1980,28.8,24.16,22.2
3/3/1980,null,null,null
3/4/1980,29.7,24.62,22.2
3/5/1980,28.8,24.00,22.2
3/6/1980,29.7,24.7,21.8
3/7/1980,29.1,24.54,22.4
3/8/1980,27.6,23.62,21.8
3/9/1980,null,null,null
3/10/1980,null,null,null
3/11/1980,31.3,25.68,21.8
3/12/1980,32.7,26.02,21.8
3/13/1980,33.3,26.7,22.2
3/14/1980,33.3,26.9,22.6
3/15/1980,31.9,25.62,23.00
3/16/1980,31.7,25.02,21.8
3/17/1980,31.7,24.96,22.2
3/18/1980,27.8,24.36,22.00
3/19/1980,30.3,25.1,22.2
3/20/1980,30.7,24.94,22.4
3/21/1980,28.00,23.76,22.00
3/22/1980,31.1,24.64,22.00
3/23/1980,32.7,25.94,21.4
3/24/1980,32.7,27.06,23.8
3/25/1980,30.9,26.3,23.00
3/26/1980,32.9,26.62,23.2
3/27/1980,null,null,null
3/28/1980,null,null,null
3/29/1980,null,null,null
3/30/1980,null,null,null
3/31/1980,null,null,null
4/1/1980,32.3,26.14,23.00
4/2/1980,30.3,25.94,23.00
4/3/1980,28.6,24.88,22.2
4/4/1980,null,null,null
4/5/1980,30.9,25.26,22.4
4/6/1980,30.9,25.46,22.8
4/7/1980,28.8,24.6,22.4
4/8/1980,27.6,24.56,22.00
4/9/1980,25.8,22.94,21.6
4/10/1980,31.3,24.94,21.00
4/11/1980,null,null,null
4/12/1980,31.1,25.6,21.8
4/13/1980,28.8,24.88,22.00
4/14/1980,28.8,24.36,22.00
4/15/1980,31.3,25.28,21.2
4/16/1980,32.3,25.9,21.6
4/17/1980,32.7,26.58,22.00
4/18/1980,31.9,25.66,22.6
4/19/1980,null,null,null
4/20/1980,null,null,null
4/21/1980,33.1,26.42,20.4
4/22/1980,32.3,25.14,20.2
4/23/1980,32.1,25.78,20.8
4/24/1980,32.7,25.86,20.2
4/25/1980,33.1,26.1,21.00
4/26/1980,30.3,25.18,20.6
4/27/1980,null,null,null
4/28/1980,28.2,24.48,22.6
4/29/1980,32.7,25.56,20.4
4/30/1980,32.1,26.02,22.00
5/1/1980,32.6,26.32,22.2
5/2/1980,31.7,25.14,22.4
5/3/1980,31.1,24.94,21.2
5/4/1980,30.1,25.26,22.00
5/5/1980,30.3,25.02,22.2
5/6/1980,28.4,25.08,22.8
5/7/1980,32.3,25.98,22.4
5/8/1980,null,null,null
5/9/1980,33.1,25.3,21.00
5/10/1980,32.7,26.06,21.4
5/11/1980,33.3,26.58,21.4
5/12/1980,null,null,null
5/13/1980,null,null,null
5/14/1980,null,null,null
5/15/1980,null,null,null
5/16/1980,null,null,null
5/17/1980,29.3,25.42,22.4
5/18/1980,33.1,26.66,23.00
5/19/1980,32.7,25.58,21.6
5/20/1980,null,null,null
5/21/1980,33.1,26.22,21.2
5/22/1980,33.1,25.9,21.6
5/23/1980,31.3,25.74,21.2
5/24/1980,31.7,25.66,21.4
5/25/1980,32.7,26.02,22.00
5/26/1980,null,null,null
5/27/1980,32.7,26.18,21.2
5/28/1980,32.7,26.58,22.4
5/29/1980,32.1,25.38,19.8
5/30/1980,32.3,25.34,20.2
5/31/1980,null,null,null
6/1/1980,null,null,null
6/2/1980,null,null,null
6/3/1980,null,null,null
6/4/1980,32.7,25.86,20.4
6/5/1980,33.1,26.14,19.8
6/6/1980,32.9,25.98,21.2
6/7/1980,32.7,26.1,20.4
6/8/1980,null,null,null
6/9/1980,null,null,null
6/10/1980,null,null,null
6/11/1980,33.3,25.04,20.00
6/12/1980,null,null,null
6/13/1980,null,null,null
6/14/1980,null,null,null
6/15/1980,33.1,25.74,20.8
6/16/1980,30.7,24.68,20.00
6/17/1980,32.1,25.2,19.8
6/18/1980,null,null,null
6/19/1980,32.7,25.42,19.8
6/20/1980,null,null,null
6/21/1980,null,null,null
6/22/1980,null,null,null
6/23/1980,32.7,26.66,22.4
6/24/1980,31.9,25.78,21.4
6/25/1980,32.7,25.08,20.4
6/26/1980,null,null,null
6/27/1980,30.1,24.98,21.4
6/28/1980,null,null,null
6/29/1980,32.9,25.00,19.4
6/30/1980,32.3,24.94,19.2
7/1/1980,32.7,25.00,19.2
7/2/1980,32.3,25.14,19.00
7/3/1980,null,null,null
7/4/1980,null,null,null
7/5/1980,31.9,25.08,20.00
7/6/1980,null,null,null
7/7/1980,null,null,null
7/8/1980,null,null,null
7/9/1980,32.3,24.8,17.8
7/10/1980,null,null,null
7/11/1980,null,null,null
7/12/1980,33.3,25.66,19.4
7/13/1980,null,null,null
7/14/1980,34.5,25.98,19.6
7/15/1980,null,null,null
7/16/1980,34.3,26.14,19.6
7/17/1980,34.3,26.7,19.8
7/18/1980,33.5,25.46,19.5
7/19/1980,null,null,null
7/20/1980,34.3,24.68,18.6
7/21/1980,33.9,24.96,17.4
7/22/1980,null,null,null
7/23/1980,null,null,null
7/24/1980,34.3,26.18,20.00
7/25/1980,34.1,26.9,21.00
7/26/1980,31.9,26.02,21.6
7/27/1980,33.1,25.86,20.6
7/28/1980,null,null,null
7/29/1980,null,null,null
7/30/1980,34.9,27.22,21.4
7/31/1980,34.7,26.98,21.4
8/1/1980,34.3,26.46,21.2
8/2/1980,32.7,24.98,20.6
8/3/1980,32.1,24.16,18.4
8/4/1980,32.7,23.56,17.2
8/5/1980,33.7,24.78,17.6
8/6/1980,33.3,25.74,20.00
8/7/1980,34.1,25.16,18.6
8/8/1980,34.3,25.00,18.4
8/9/1980,34.3,25.56,18.4
8/10/1980,34.3,26.62,21.2
8/11/1980,34.1,26.66,20.8
8/12/1980,33.9,25.92,21.00
8/13/1980,34.1,26.24,20.4
8/14/1980,34.1,26.24,20.4
8/15/1980,33.1,25.44,19.4
8/16/1980,34.3,26.38,20.4
8/17/1980,34.7,25.48,18.6
8/18/1980,34.1,26.04,19.8
8/19/1980,33.3,26.18,20.4
8/20/1980,33.3,26.28,20.00
8/21/1980,32.3,26.06,21.00
8/22/1980,33.1,24.98,19.8
8/23/1980,34.7,26.36,20.2
8/24/1980,34.7,27.06,21.00
8/25/1980,33.3,24.86,21.00
8/26/1980,33.3,25.72,20.00
8/27/1980,32.9,26.42,21.2
8/28/1980,33.3,25.46,22.6
8/29/1980,32.7,25.24,20.4
8/30/1980,33.3,25.52,19.2
8/31/1980,32.7,25.68,19.4
9/1/1980,34.1,26.88,21.5
9/2/1980,35.5,27.5,21.6
9/3/1980,35.3,27.86,22.00
9/4/1980,29.7,25.14,21.00
9/5/1980,31.9,26.3,21.4
9/6/1980,34.3,27.5,23.2
9/7/1980,34.3,27.02,21.00
9/8/1980,33.9,25.98,21.00
9/9/1980,34.1,25.66,21.4
9/10/1980,null,null,null
9/11/1980,35.3,26.74,20.00
9/12/1980,35.3,26.06,21.6
9/13/1980,33.5,26.26,20.00
9/14/1980,33.1,26.3,20.00
9/15/1980,35.3,27.1,21.2
9/16/1980,32.7,24.94,21.4
9/17/1980,32.1,25.94,21.00
9/18/1980,33.3,24.94,21.8
9/19/1980,32.7,24.56,21.00
9/20/1980,34.3,26.7,20.8
9/21/1980,34.7,27.34,20.8
9/22/1980,35.5,27.86,21.4
9/23/1980,34.9,27.5,21.4
9/24/1980,28.8,23.98,21.5
9/25/1980,31.7,25.94,21.2
9/26/1980,34.3,26.38,21.4
9/27/1980,32.3,25.26,21.4
9/28/1980,null,null,null
9/29/1980,32.7,26.62,22.00
9/30/1980,33.9,27.98,22.2
10/1/1980,30.3,24.5,21.00
10/2/1980,31.5,24.66,21.00
10/3/1980,31.9,25.06,22.2
10/4/1980,32.7,26.82,21.8
10/5/1980,33.1,26.14,21.6
10/6/1980,32.3,25.58,22.00
10/7/1980,32.9,26.34,20.6
10/8/1980,33.3,26.26,22.00
10/9/1980,31.9,25.54,22.00
10/10/1980,30.9,25.78,20.8
10/11/1980,31.9,26.54,22.4
10/12/1980,34.1,26.54,21.00
10/13/1980,29.7,25.34,21.00
10/14/1980,33.9,27.18,21.8
10/15/1980,31.7,25.82,22.2
10/16/1980,28.4,24.64,21.2
10/17/1980,30.3,24.54,21.8
10/18/1980,32.7,25.9,21.4
10/19/1980,32.7,24.82,21.00
10/20/1980,32.9,26.06,20.4
10/21/1980,33.9,27.34,22.4
10/22/1980,33.7,27.58,22.6
10/23/1980,33.7,27.1,22.2
10/24/1980,34.3,27.78,22.4
10/25/1980,34.7,27.54,21.6
10/26/1980,32.5,26.26,21.6
10/27/1980,31.6,26.56,22.4
10/28/1980,33.1,26.54,21.6
10/29/1980,35.3,27.9,21.00
10/30/1980,35.3,28.58,22.6
10/31/1980,32.7,25.62,22.6
11/1/1980,31.7,24.74,20.8
11/2/1980,33.1,26.14,20.8
11/3/1980,34.1,26.02,21.8
11/4/1980,31.5,25.14,21.2
11/5/1980,30.3,25.34,21.2
11/6/1980,27.6,24.72,22.6
11/7/1980,29.9,25.54,21.8
11/8/1980,30.3,25.5,21.4
11/9/1980,33.3,26.26,21.6
11/10/1980,28.8,24.32,21.6
11/11/1980,31.1,25.1,21.4
11/12/1980,32.1,26.46,21.6
11/13/1980,31.5,26.38,21.8
11/14/1980,32.7,25.42,21.8
11/15/1980,29.1,24.42,21.4
11/16/1980,29.3,24.3,21.6
11/17/1980,31.3,25.74,20.8
11/18/1980,29.3,24.58,20.8
11/19/1980,33.1,25.34,20.8
11/20/1980,31.1,26.14,21.4
11/21/1980,31.9,25.86,21.4
11/22/1980,33.5,26.3,20.4
11/23/1980,34.7,27.62,21.4
11/24/1980,28.4,25.04,22.2
11/25/1980,32.7,25.1,22.00
11/26/1980,30.1,24.82,21.8
11/27/1980,30.7,24.7,21.8
11/28/1980,31.1,25.74,21.4
11/29/1980,29.5,24.38,21.8
11/30/1980,29.00,24.32,21.6
12/1/1980,31.7,25.58,21.6
12/2/1980,33.5,26.7,21.4
12/3/1980,33.7,26.9,21.8
12/4/1980,29.3,25.22,22.8
12/5/1980,30.3,24.98,21.8
12/6/1980,33.3,26.42,21.4
12/7/1980,33.7,26.58,21.00
12/8/1980,32.1,26.78,21.8
12/9/1980,33.3,27.02,21.6
12/10/1980,32.7,26.02,22.00
12/11/1980,33.2,25.96,22.00
12/12/1980,32.3,25.42,22.00
12/13/1980,29.3,24.18,21.8
12/14/1980,29.3,24.5,21.00
12/15/1980,29.9,24.58,22.00
12/16/1980,29.9,24.38,21.8
12/17/1980,30.3,25.06,21.00
12/18/1980,29.3,25.34,22.2
12/19/1980,29.1,23.96,21.4
12/20/1980,29.00,23.76,21.00
12/21/1980,28.8,23.98,20.8
12/22/1980,29.9,23.94,21.00
12/23/1980,31.7,24.34,21.2
12/24/1980,30.3,25.18,21.00
12/25/1980,30.3,25.18,22.8
12/26/1980,29.3,24.62,21.8
12/27/1980,31.7,25.34,21.8
12/28/1980,27.2,23.92,22.00
12/29/1980,31.3,25.06,21.4
12/30/1980,32.3,25.86,21.4
12/31/1980,29.1,23.92,21.4
1/1/1981,30.7,25.22,21.6
1/2/1981,31.3,25.38,21.2
1/3/1981,31.5,25.14,21.2
1/4/1981,28.6,24.3,21.00
1/5/1981,31.3,24.34,21.4
1/6/1981,31.1,25.34,21.2
1/7/1981,31.1,25.3,21.2
1/8/1981,32.7,26.02,21.4
1/9/1981,30.3,25.26,21.2
1/10/1981,31.3,25.34,22.4
1/11/1981,29.5,24.78,21.4
1/12/1981,29.1,24.62,21.6
1/13/1981,31.1,25.26,21.6
1/14/1981,30.1,25.1,22.00
1/15/1981,32.1,25.98,21.6
1/16/1981,27.8,24.08,22.00
1/17/1981,30.7,25.78,21.4
1/18/1981,29.3,24.04,21.2
1/19/1981,28.6,24.42,21.4
1/20/1981,32.3,25.82,21.6
1/21/1981,28.8,24.44,21.8
1/22/1981,30.3,25.18,21.4
1/23/1981,32.8,24.76,21.2
1/24/1981,28.4,23.4,21.2
1/25/1981,29.3,24.2,21.00
1/26/1981,31.9,25.26,20.8
1/27/1981,30.1,24.02,21.2
1/28/1981,32.1,25.18,21.4
1/29/1981,25.4,22.6,21.00
1/30/1981,31.5,24.92,20.00
1/31/1981,29.5,24.78,21.4
2/1/1981,null,null,null
2/2/1981,30.7,24.02,21.6
2/3/1981,31.7,25.00,20.6
2/4/1981,null,null,null
2/5/1981,31.7,25.4,20.8
2/6/1981,31.7,25.4,20.6
2/7/1981,30.4,24.48,21.6
2/8/1981,31.3,24.98,21.2
2/9/1981,32.3,24.4,20.4
2/10/1981,31.5,25.86,21.00
2/11/1981,33.3,25.18,21.4
2/12/1981,null,null,null
2/13/1981,29.7,24.08,20.4
2/14/1981,31.1,24.74,21.4
2/15/1981,29.9,24.68,20.8
2/16/1981,29.9,24.14,20.8
2/17/1981,null,null,null
2/18/1981,31.1,24.6,20.8
2/19/1981,33.3,25.18,21.6
2/20/1981,31.1,24.46,21.2
2/21/1981,31.9,24.94,21.6
2/22/1981,33.7,26.26,21.4
2/23/1981,33.1,25.74,21.00
2/24/1981,33.7,26.34,21.4
2/25/1981,33.5,26.98,22.00
2/26/1981,33.5,26.5,21.6
2/27/1981,34.1,27.02,21.4
2/28/1981,34.1,26.66,22.6
